Horizon started successfully.
[2020-10-07 15:27:24][61] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:25][60] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:25][62] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][62] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][63] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:27][64] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][66] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][65] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][64] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:28][67] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][69] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][66] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:28][68] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:29][68] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:29][70] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:30][71] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:30][70] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:30][72] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:30][73] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:31][74] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:31][75] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:31][72] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:31][76] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:33][74] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:33][77] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:33][76] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:33][78] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:34][79] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:34][78] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:34][80] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:34][81] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:35][82] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:35][80] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:35][83] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:36][85] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:36][82] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:36][84] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:37][87] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:37][84] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:37][86] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:38][88] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:38][86] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:38][89] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:39][90] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:39][88] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:39][91] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:40][92] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:40][90] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:40][93] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:41][94] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:41][92] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:41][95] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:42][94] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:42][97] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:42][96] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:43][98] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:43][96] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:43][99] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:44][100] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:44][98] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:44][101] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:45][102] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:45][100] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:45][103] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:46][104] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:46][102] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:46][105] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:47][104] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:47][106] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:47][11] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:47][15] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:48][106] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:48][13] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:48][17] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:49][19] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:50][21] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:52][23] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:52][27] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:51][25] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:53][29] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:54][31] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:54][33] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:55][35] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:55][37] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:56][39] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:57][41] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:59][45] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:59][47] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:58][43] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:00][49] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:01][51] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:01][53] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:02][55] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:02][57] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:04][59] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:05][61] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:06][65] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:05][63] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:06][67] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:07][69] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:08][71] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:09][73] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:09][75] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:09][77] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:11][79] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:12][81] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:13][85] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:12][83] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:13][87] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:14][89] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:15][91] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:16][93] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:16][95] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:17][97] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:18][99] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:19][101] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:21][11] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:20][105] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:20][103] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:21][15] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:22][13] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:24][19] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:24][17] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:24][11] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:24][21] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:25][15] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:25][25] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:26][13] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:26][23] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:28][21] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:28][107] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:28][19] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:28][29] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:27][17] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:27][27] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:28][25] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:28][108] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][107] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][109] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][109] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][111] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][111] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][112] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][112] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][113] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:30][113] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:30][35] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:29][108] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][110] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][110] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:29][31] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:29][23] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:29][33] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:31][29] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:31][114] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:31][114] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:31][39] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:31][27] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:31][37] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][33] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][41] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][35] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][115] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:33][115] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:33][45] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][31] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:33][43] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:35][39] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:35][116] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:35][116] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:35][117] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:35][37] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:35][47] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:35][117] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:35][49] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:37][45] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:37][119] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:37][119] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:37][55] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:37][43] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:37][51] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:36][41] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:36][118] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:37][118] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:37][53] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:39][49] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:39][120] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
